_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,waived,within_cap
15525279,Alzheimers Dement,Wiley,0.0,136,0.0,True,True
20479980,J Am Heart Assoc,Wolters Kluwer,0.0,100,0.0,True,True
15733254,AIDS Behav,Springer Nature,0.0,57,0.0,True,True
15251497,J Gen Intern Med,Springer Nature,0.0,39,0.0,True,True
15325415,J Am Geriatr Soc,Wiley,0.0,36,0.0,True,True
13652982,Neurogastroenterol Motil,Wiley,0.0,35,0.0,True,True
15222594,Magn Reson Med,Wiley,0.0,35,0.0,True,True
15206777,Neurourol Urodyn,Wiley,0.0,33,0.0,True,True
21514658,Arthritis Care Res (Hoboken),Wiley,0.0,29,0.0,True,True
10969098,J Surg Oncol,Wiley,0.0,28,0.0,True,True
10970142,Cancer,Wiley,0.0,28,0.0,True,True
15732800,Arch Sex Behav,Springer Nature,0.0,27,0.0,True,True
1432069X,Arch Dermatol Res,Springer Nature,0.0,25,0.0,True,True
15306860,FASEB J,Wiley,0.0,25,0.0,True,True
10970258,Stat Med,Wiley,0.0,24,0.0,True,True
14697793,J Physiol,Wiley,0.0,24,0.0,True,True
15222586,J Magn Reson Imaging,Wiley,0.0,22,0.0,True,True
21968837,J Racial Ethn Health Disparities,Springer Nature,0.0,22,0.0,True,True
23265205,Arthritis Rheumatol,Wiley,0.0,22,0.0,True,True
10970193,Hum Brain Mapp,Wiley,0.0,21,0.0,True,True
15318257,Mov Disord,Wiley,0.0,21,0.0,True,True
15344681,Ann Surg Oncol,Springer Nature,0.0,21,0.0,True,True
23528729,Alzheimers Dement (Amst),Wiley,0.0,21,0.0,True,True
14320533,Acta Neuropathol,Springer Nature,0.0,20,0.0,True,True
18790844,Eur J Heart Fail,Wiley,0.0,20,0.0,True,True
15213773,Angew Chem Int Ed Engl,Wiley,0.0,19,0.0,True,True
10991611,Psychooncology,Wiley,0.0,18,0.0,True,True
14765578,Mol Psychiatry,Springer Nature,0.0,18,0.0,True,True
1930739X,Obesity (Silver Spring),Wiley,0.0,18,0.0,True,True
23289503,Ann Clin Transl Neurol,Wiley,0.0,18,0.0,True,True
15732649,Qual Life Res,Springer Nature,0.0,17,0.0,True,True
23528737,Alzheimers Dement (N Y),Wiley,0.0,17,0.0,True,True
1098108X,Int J Eat Disord,Wiley,0.0,16,0.0,True,True
15318249,Ann Neurol,Wiley,0.0,16,0.0,True,True
15733521,J Behav Med,Springer Nature,0.0,16,0.0,True,True
13989995,Allergy,Wiley,0.0,15,0.0,True,True
14765594,Oncogene,Springer Nature,0.0,15,0.0,True,True
15300447,Pediatr Res,Springer Nature,0.0,15,0.0,True,True
15560961,Neurocrit Care,Springer Nature,0.0,15,0.0,True,True
19341563,PM R,Wiley,0.0,15,0.0,True,True
14320460,Dysphagia,Springer Nature,0.0,14,0.0,True,True
1469896X,Protein Sci,Wiley,0.0,14,0.0,True,True
15327558,Int J Behav Med,Springer Nature,0.0,14,0.0,True,True
15326535,Clin Pharmacol Ther,Wiley,0.0,13,0.0,True,True
15408167,J Cardiovasc Electrophysiol,Wiley,0.0,13,0.0,True,True
15736695,Prev Sci,Springer Nature,0.0,13,0.0,True,True
21983844,Adv Sci (Weinh),Wiley,0.0,13,0.0,True,True
25092723,Geroscience,Springer Nature,0.0,13,0.0,True,True
15221466,Am J Physiol Renal Physiol,American Physiological Society,0.0,12,0.0,False,True
15532712,Acad Emerg Med,Wiley,0.0,12,0.0,True,True
16136829,Small,Wiley,0.0,12,0.0,True,True
21922659,Adv Healthc Mater,Wiley,0.0,11,0.0,True,True
10991492,NMR Biomed,Wiley,0.0,10,0.0,True,True
14337339,Support Care Cancer,Springer Nature,0.0,10,0.0,True,True
14765551,Leukemia,Springer Nature,0.0,10,0.0,True,True
15214095,Adv Mater,Wiley,0.0,10,0.0,True,True
15455017,Pediatr Blood Cancer,Wiley,0.0,10,0.0,True,True
15733432,J Autism Dev Disord,Springer Nature,0.0,10,0.0,True,True
15737330,J Assist Reprod Genet,Springer Nature,0.0,10,0.0,True,True
1740634X,Neuropsychopharmacology,Springer Nature,0.0,10,0.0,True,True
23747943,ACS Cent Sci,American Chemical Society (ACS),0.0,10,0.0,False,True
10970215,Int J Cancer,Wiley,0.0,9,0.0,True,True
13652869,J Sleep Res,Wiley,0.0,9,0.0,True,True
13993062,Transpl Infect Dis,Wiley,0.0,9,0.0,True,True
14765543,J Perinatol,Springer Nature,0.0,9,0.0,True,True
15221504,Am J Physiol Lung Cell Mol Physiol,American Physiological Society,0.0,9,0.0,False,True
15281167,Epilepsia,Wiley,0.0,9,0.0,True,True
15364801,J Pediatr Gastroenterol Nutr,Wiley,0.0,9,0.0,True,True
15570657,Int J Methods Psychiatr Res,Wiley,0.0,9,0.0,True,True
15737217,Breast Cancer Res Treat,Springer Nature,0.0,9,0.0,True,True
18758312,Int J Cardiovasc Imaging,Unknown,0.0,9,0.0,True,True
20426984,Int Forum Allergy Rhinol,Wiley,0.0,9,0.0,True,True
14320428,Diabetologia,Springer Nature,0.0,8,0.0,True,True
14698749,Dev Med Child Neurol,Wiley,0.0,8,0.0,True,True
14749726,Aging Cell,Wiley,0.0,8,0.0,True,True
15221547,Am J Physiol Gastrointest Liver Physiol,American Physiological Society,0.0,8,0.0,False,True
15739686,Ann Biomed Eng,Springer Nature,0.0,8,0.0,True,True
19322267,J Cancer Surviv,Springer Nature,0.0,8,0.0,True,True
20457634,Cancer Med,Wiley,0.0,8,0.0,True,True
20555822,ESC Heart Fail,Wiley,0.0,8,0.0,True,True
10969861,J Comp Neurol,Wiley,0.0,7,0.0,True,True
10970045,Prostate,Wiley,0.0,7,0.0,True,True
10990496,Pediatr Pulmonol,Wiley,0.0,7,0.0,True,True
13653016,Paediatr Perinat Epidemiol,Wiley,0.0,7,0.0,True,True
14321106,Exp Brain Res,Springer Nature,0.0,7,0.0,True,True
14338491,Eur Arch Psychiatry Clin Neurosci,Unknown,0.0,7,0.0,True,True
14609568,Eur J Neurosci,Wiley,0.0,7,0.0,True,True
14681293,HIV Med,Wiley,0.0,7,0.0,True,True
14697610,J Child Psychol Psychiatry,Wiley,0.0,7,0.0,True,True
14714159,J Neurochem,Wiley,0.0,7,0.0,True,True
15733289,Adm Policy Ment Health,Springer Nature,0.0,7,0.0,True,True
17528062,Clin Transl Sci,Wiley,0.0,7,0.0,True,True
20416520,Chem Sci,Royal Society of Chemistry (RSC),0.0,7,0.0,False,True
23796146,Learn Health Syst,Wiley,0.0,7,0.0,True,True
10982302,Dev Psychobiol,Wiley,0.0,6,0.0,True,True
10991166,Int J Geriatr Psychiatry,Wiley,0.0,6,0.0,True,True
13652036,Aliment Pharmacol Ther,Wiley,0.0,6,0.0,True,True
13993038,Pediatr Allergy Immunol,Wiley,0.0,6,0.0,True,True
14321998,Pediatr Radiol,Springer Nature,0.0,6,0.0,True,True
14678624,Child Dev,Wiley,0.0,6,0.0,True,True
14765497,Int J Obes (Lond),Springer Nature,0.0,6,0.0,True,True
15206300,Am J Hum Biol,Wiley,0.0,6,0.0,True,True
15529924,Environ Health Perspect,Environmental Health Perspectives,0.0,6,0.0,False,True
15571920,J Immigr Minor Health,Springer Nature,0.0,6,0.0,True,True
15737225,Cancer Causes Control,Springer Nature,0.0,6,0.0,True,True
16000897,Am J Reprod Immunol,Wiley,0.0,6,0.0,True,True
17480361,J Rural Health,Wiley,0.0,6,0.0,True,True
17496632,Ann N Y Acad Sci,Wiley,0.0,6,0.0,True,True
17517893,Early Interv Psychiatry,Wiley,0.0,6,0.0,True,True
20476310,Pediatr Obes,Wiley,0.0,6,0.0,True,True
2051817X,Physiol Rep,Wiley,0.0,6,0.0,True,True
23988835,Health Sci Rep,Wiley,0.0,6,0.0,True,True
10981004,Hum Mutat,Unknown,0.0,5,0.0,True,True
10981136,Glia,Wiley,0.0,5,0.0,True,True
13600443,Addiction,Wiley,0.0,5,0.0,True,True
13652141,Br J Haematol,Wiley,0.0,5,0.0,True,True
13654632,Int J Dermatol,Unknown,0.0,5,0.0,True,True
13990012,Clin Transplant,Wiley,0.0,5,0.0,True,True
14321971,Pediatr Cardiol,Springer Nature,0.0,5,0.0,True,True
14322218,Surg Endosc,Springer Nature,0.0,5,0.0,True,True
14351102,Arch Womens Ment Health,Springer Nature,0.0,5,0.0,True,True
14676494,J Pers,Unknown,0.0,5,0.0,True,True
14708736,Clin Sci (Lond),Portland Press,0.0,5,0.0,False,True
14756773,Health Serv Res,Wiley,0.0,5,0.0,True,True
14765608,Prostate Cancer Prostatic Dis,Unknown,0.0,5,0.0,True,True
14783231,Liver Int,Wiley,0.0,5,0.0,True,True
15206629,J Community Psychol,Wiley,0.0,5,0.0,True,True
15221601,J Appl Physiol (1985),American Physiological Society,0.0,5,0.0,False,True
15314995,Laryngoscope,Wiley,0.0,5,0.0,True,True
15422011,J Midwifery Womens Health,Wiley,0.0,5,0.0,True,True
15483576,Curr HIV/AIDS Rep,Springer Nature,0.0,5,0.0,True,True
15535606,J Hosp Med,Wiley,0.0,5,0.0,True,True
15728595,J Interv Card Electrophysiol,Unknown,0.0,5,0.0,True,True
15732568,Dig Dis Sci,Springer Nature,0.0,5,0.0,True,True
17424658,FEBS J,Wiley,0.0,5,0.0,True,True
18733468,FEBS Lett,Wiley,0.0,5,0.0,True,True
19337205,Reprod Sci,Unknown,0.0,5,0.0,True,True
20420226,Cell Mol Immunol,Springer Nature,0.0,5,0.0,True,True
21906009,J Cachexia Sarcopenia Muscle,Wiley,0.0,5,0.0,True,True
25785745,ACR Open Rheumatol,Wiley,0.0,5,0.0,True,True
26911299,Curr Protoc,Wiley,0.0,5,0.0,True,True
27307174,Res Child Adolesc Psychopathol,Springer Nature,0.0,5,0.0,True,True
10970177,Dev Dyn,Wiley,0.0,4,0.0,True,True
10970290,Biotechnol Bioeng,Wiley,0.0,4,0.0,True,True
11791888,Am J Clin Dermatol,Unknown,0.0,4,0.0,True,True
